airport,start,end,regulation_start,regulation_end,reason,duration_hours
EGLL,2017-01-06 00:40:00,2017-01-06 10:00:00,2017-01-06 06:40:00,2017-01-06 08:00:00,W - Weather,1.3333333333333333
EGLL,2017-02-02 05:00:00,2017-02-02 15:40:00,2017-02-02 11:00:00,2017-02-02 13:40:00,W - Weather,2.6666666666666665
EGLL,2017-02-03 11:00:00,2017-02-03 22:40:00,2017-02-03 17:00:00,2017-02-03 20:40:00,W - Weather,3.6666666666666665
EGLL,2017-02-13 04:00:00,2017-02-13 22:20:00,2017-02-13 10:00:00,2017-02-13 20:20:00,W - Weather,10.333333333333334
EGLL,2017-03-20 00:20:00,2017-03-20 15:00:00,2017-03-20 06:20:00,2017-03-20 13:00:00,W - Weather,6.666666666666667
EGLL,2017-03-23 00:20:00,2017-03-23 12:20:00,2017-03-23 06:20:00,2017-03-23 10:20:00,W - Weather,4.0
EGLL,2017-03-28 23:40:00,2017-03-29 11:00:00,2017-03-29 05:40:00,2017-03-29 09:00:00,W - Weather,3.3333333333333335
EGLL,2017-03-31 23:20:00,2017-04-01 13:00:00,2017-04-01 05:20:00,2017-04-01 11:00:00,C - ATC Capacity,5.666666666666667
EGLL,2017-04-03 23:40:00,2017-04-04 10:30:00,2017-04-04 05:40:00,2017-04-04 08:30:00,C - ATC Capacity,2.8333333333333335
EGLL,2017-04-07 23:00:00,2017-04-08 10:00:00,2017-04-08 05:00:00,2017-04-08 08:00:00,W - Weather,3.0
EGLL,2017-04-11 23:40:00,2017-04-12 12:00:00,2017-04-12 05:40:00,2017-04-12 10:00:00,A - Accident/Incident,4.333333333333333
EGLL,2017-05-19 10:00:00,2017-05-19 20:40:00,2017-05-19 16:00:00,2017-05-19 18:40:00,C - ATC Capacity,2.6666666666666665
EGLL,2017-06-12 01:20:00,2017-06-12 13:25:00,2017-06-12 07:20:00,2017-06-12 11:25:00,W - Weather,4.083333333333333
EGLL,2017-07-19 00:30:00,2017-07-19 18:40:00,2017-07-19 06:30:00,2017-07-19 16:40:00,C - ATC Capacity,10.166666666666666
