feature,importance
hours_to_regulation,0.6736516182940885
hour,0.08275181810061938
Dewpoint,0.03135306381735299
wind_temp_interaction,0.03091510915051703
Wind Speed,0.02556822473517048
Temperature,0.02352545522420638
Ceiling height,0.022431641451292828
month,0.021724482400953933
Horizontal visibility,0.02013513311032466
Wind Direction,0.019722609328680685
day_of_week,0.018057151869159672
temp_dewpoint_diff,0.015526245004063584
is_weekend,0.0037344339648000347
Ceiling coverage,0.0030009240528798948
variable_wind,0.0025636924300769122
fog_risk,0.001896966861244724
flight_category,0.001371831776275333
high_wind,0.0007730410492735389
regulation_imminent,0.0005703406094178527
low_ceiling,0.00027438376233112916
low_visibility,0.00022726518643371782
very_low_ceiling,0.00022013281185293124
very_low_visibility,4.435008983937139e-06
very_high_wind,0.0
