feature,importance
hour,0.20554429501776963
month,0.10905188611805114
Wind Speed,0.10269910229444745
day_of_week,0.07958530616155073
Wind Direction,0.07762836617680395
Horizontal visibility,0.06311457615918589
temp_dewpoint_diff,0.06262340302766874
Dewpoint,0.0613137285985348
wind_temp_interaction,0.06119644391205352
Temperature,0.058695785622084225
Ceiling height,0.04249633508376532
Ceiling coverage,0.020554836651107217
flight_category,0.018147974346415133
is_weekend,0.01735707944116032
low_visibility,0.006999087260573337
high_wind,0.004658623201379735
low_ceiling,0.004587825182161664
variable_wind,0.0037453457452869977
